word	parts
all	adj|adv|conj|det|n|pron
allay	n|v
allegation	n
allege	v
allegiance	n
allegory	n|v
allergic	adj|n
allergy	n
alleviate	v
alley	n
alliance	n|v
allied	adj|v
alligator	interj|n|v
alliterate	v
alliteration	n
allocate	adj|n|v
allot	adv|n|v
allow	v
allowance	n|v
alloy	n|v
allude	v
allure	n|v
alluring	adj|n|v
allusion	n
ally	n|v
almond	adj|n
almost	adv|n
alms	n
aloft	adv
alone	adj|adv
along	adv|prep
alongside	adv|prep
aloof	adj|adv|prep
aloud	adj|adv
alphabet	n|v
alphabetical	adj|n
already	adv
also	adv|conj
alter	n|v
alteration	n
alternate	adj|n|v
alternately	adv
alternation	n
alternative	adj|n
although	conj
altitude	n
altogether	adv|n
altruism	n
altruistic	adj
aluminium	n
aluminum	n
alumnus	n
always	adv|n
am	adj|adv|n|phrase|v
amalgam	n|v
amalgamate	adj|n|v
amass	n|v
amateur	adj|n
amateurish	adj
amaze	adj|n|v
amazement	n
amazing	adj|v
ambassador	n
ambidextrous	adj
ambience	n
ambient	adj|n
ambiguity	n
ambiguous	adj
ambition	n|v
ambitious	adj
ambivalence	n
ambivalent	adj
amble	n|v
ambrosial	adj
ambulance	n|v
ambulatory	adj|n
ambush	n|v
ameliorate	v
amenable	adj
amend	n|v
amendment	n
amends	n|v
amenity	n
america	n
american	adj|n
amethyst	adj|n
amiable	adj
amicable	adj
amid	n|prep
amidst	prep
amiss	adj|adv|n
amity	n
ammunition	n|v
amnesia	n
amnesty	n|v
among	adv|prep
amongst	prep
amoral	adj
amorphous	adj
amortize	v
amount	n|v
ampere	n
amphibian	adj|n
ample	adj|det
amplification	n
amplifier	n
amplify	v
amplitude	n
amputate	v
amulet	n
amuse	v
amusement	n
anachronistic	adj
anaerobic	adj
anagram	n|v
analgesia	n
analgesic	adj|n
analogous	adj
analogue	adj|n
analogy	n
analyse	v
analysis	n
analyst	n
analytic	adj
analytical	adj
analyze	v
anarchist	adj|n
anarchy	n
anathema	n
anatomical	adj
anatomy	n
ancestor	n|v
ancestral	adj|n
ancestry	n
anchor	n|v
ancient	adj|n
ancillary	adj|n
and	adj|conj|n|v
anecdotal	adj
anecdote	n|v
anemia	n
anemic	adj|n
anesthesia	n
anesthetic	adj|n
angel	n|v
anger	n|v
angle	n|v
angry	adj|n|v
anguish	n|v
angular	adj|n
anhydrous	adj
animal	adj|n
animals	n
animate	adj|v
animated	adj|v
animation	n
animosity	n
animus	n
ankle	n|v
annals	n
annex	n|v
annexation	n
annihilate	v
anniversary	n
annotate	v
announce	v
announcement	n
announcer	n
annoy	n|v
annoying	adj|n|v
annual	adj|n
annually	adv
annuity	n
annul	v
anode	n
anodyne	adj|n
anomalous	adj
anomaly	n
anonymity	n
anonymous	adj|n
anorexia	n
another	det|pron
answer	n|v
ant	n|v
antagonism	n
antagonist	n
antagonize	v
antarctic	adj|n
antarctica	n
antecedence	n
antecedent	adj|n
antedate	n|v
antediluvian	adj|n
antenna	n
anterior	adj
anthem	n|v
anthology	n
anthropoid	adj|n
anthropologist	n
anthropology	n
antibiotic	adj|n
antibiotics	n
antibody	n
antic	adj|n|v
anticipate	v
anticipation	n
anticipatory	adj|n
anticlimax	n
antidote	n|v
antihistamine	n
antipathy	n
antiquate	v
antiquated	adj|v
antique	adj|n|v
antiquity	n
antiseptic	adj|n
antisocial	adj|n
antithesis	n
antonym	n
anvil	n|v
anxiety	n
anxious	adj
any	adv|det|pron
anybody	pron
anyhow	adj|adv
anyone	pron
anything	adv|n|pron|v
anyway	adv
anywhere	adv|n|pron
aorta	n
apart	adj|adv
apartment	n
apathetic	adj|n
ape	adj|n|v
aperture	n
apes	n|v
apex	n
aphorism	n|v
apiary	n
aplomb	n
apocalyptic	adj|n
apocrypha	n
apocryphal	adj
apogee	n
apologetic	adj|n
apologise	v
apologize	v
apology	n
apoplectic	adj|n
apostasy	n
apostate	adj|n
apostrophe	n
apothecary	n
apothegm	n
apotheosis	n
appal	v
appall	v
apparatus	n
apparel	n|v
apparent	adj
apparition	n
appeal	n|v
appealing	adj|n|v
appear	v
appearance	n
appease	v
appellation	n
appendage	n
appendix	n
appetite	n
appetizer	n
appetizing	adj|n|v
applaud	n|v
applause	n|v
apple	n|v
appliance	n
applicable	adj
applicant	n
application	n
applied	adj|v
apply	adj|v
appoint	v
appointment	n
apportion	v
apposite	adj|n
appraisal	n
appraise	v
appreciable	adj
appreciate	v
appreciation	n
apprehend	v
apprehension	n
apprehensive	adj|n
apprentice	n|v
apprise	v
approach	n|v
approaches	n|v
approaching	adj|adv|n|v
approbation	n
appropriate	adj|v
appropriation	n
approval	n
approve	v
approximate	adj|n|v
approximately	adv
april	n
apron	n|v
apropos	adj|adv|n|prep
apt	adj|n
aptitude	n
aptly	adv
aquamarine	adj|n
aquarium	n
aquatic	adj|n
aqueduct	n
aquifer	n
aquiline	adj
arab	adj|n
arabesque	n|v
arabian	adj|n
arabic	adj|n
arable	adj|n
arachnid	n
arbiter	n|v
arbitrary	adj|n
arbitrate	v
arbitration	n
arbitrator	n
arboreal	adj|n
arboretum	n
arc	adj|n|v
arcane	adj
arch	adj|n|v
archaeological	adj
archaeology	n
archaic	adj|n
archer	adj|n
archetype	n|v
archipelago	n|v
architect	n|v
architectural	adj
architecture	n
archive	n|v
archives	n|v
arctic	adj|n
ardent	adj
ardor	n
arduous	adj
are	det|n|v
area	n
areas	n
arena	n
argot	n
argue	n|v
argument	n|v
aria	n
arid	adj
arise	n|v
aristocracy	n
aristocrat	n
arithmetic	adj|n
arm	adj|n|v
armada	n
armament	n
armchair	adj|n|v
armistice	n
armor	n|v
armored	adj|v
armory	n
armour	n|v
arms	n|v
army	n
aroma	n
aromatic	adj|n
around	adj|adv|prep
arouse	v
arraign	n|v
arrange	n|v
arrangement	n
array	n|v
arrest	n|v
arresting	adj|v
arrhythmic	adj
arrival	n
arrive	v
arrogance	n
arrogant	adj
arrogate	v
arrow	n|phrase|v
arroyo	n
arsenal	n
arson	n|v
art	n|v
artery	n
arthritis	n
article	n|v
articles	n|v
articulate	adj|n|v
artifact	n
artifacts	n
artifice	n|v
artificial	adj
artillery	n
artisan	adj|n
artist	adj|n
artistic	adj|adv
artistry	n
artless	adj
as	adv|conj|n|phrase|prep
ascend	v
ascendancy	n
ascending	adj|n|v
ascent	n
ascertain	v
ascetic	adj|n
ascribe	v
aseptic	adj|n
ash	adv|n|v
ashamed	adj|v
ashore	adv
asia	n
