word	parts
dime	n|v
dimension	n|v
dimensional	adj
diminish	v
diminuendo	adj|adv|n
diminution	n
diminutive	adj|n
dimly	adv
dimple	n|v
din	n|v
dine	n|v
dingy	adj|n|v
dining	n|v
dinner	n|v
dinosaur	n
diocesan	adj|n
dioxide	n
dip	n|v
diploma	n
diplomacy	n
diplomas	n
diplomat	n
diplomatic	adj|n
dipsomania	n
dire	adj|n
direct	adj|adv|v
direction	n
directly	adv|conj
director	n
directory	adj|n
dirge	n|v
dirt	n|v
dirty	adj|adv|n|v
disability	n
disable	adj|v
disabled	adj|n|v
disabuse	v
disadvantage	n|v
disaffect	v
disagree	v
disagreeable	adj|n
disagreement	n
disallow	v
disappear	v
disappearance	n
disappoint	v
disappointment	n
disapproval	n
disapprove	v
disarm	n|v
disarrange	v
disarray	n|v
disaster	n
disastrous	adj
disavow	v
disband	v
disbar	v
disburse	v
disc	n|v
discard	n|v
discern	v
discernible	adj
discerning	adj|n|v
discharge	n|v
disciple	n|v
discipline	n|v
disciplined	adj|v
disclaim	v
disclaimer	n|v
disclose	n|v
disco	n|v
discography	n
discombobulate	v
discombobulated	adj|v
discomfit	v
discomfited	v
discomfiture	n
discomfort	n|v
discompose	v
disconcert	n|v
disconnect	n|v
discontent	adj|n|v
discontented	adj|v
discord	n|v
discount	adj|n|v
discourage	n|v
discouraging	adj|n|v
discourse	n|v
discover	n|v
discovery	n
discredit	n|v
discreet	adj
discrepancy	n
discrete	adj
discretion	n
discretionary	adj
discriminate	adj|v
discrimination	n
discriminatory	adj
discursive	adj
discuss	v
discussion	n
disdain	n|v
disease	n|v
diseases	n|v
disembodied	adj|v
disembody	v
disenchant	v
disengage	n|v
disentangle	v
disfigure	v
disfranchise	v
disgorge	v
disgrace	n|v
disgruntle	v
disguise	n|v
disgust	n|v
disgusted	adj|v
disgusting	adj|v
dish	n|v
dishearten	v
dishes	n|v
dishevel	v
disheveled	adj|v
dishonour	n|v
disillusion	n|v
disillusioned	adj|v
disinfect	v
disinfectant	adj|n
disintegrate	v
disinter	v
disinterested	adj|v
disjunction	n
disjunctive	adj|n
disk	n|v
dislike	n|v
dislocate	v
dislodge	v
dismal	adj|n
dismantle	v
dismay	n|v
dismember	v
dismembered	adj|v
dismiss	v
disobedience	n
disobey	v
disorder	n|v
disorganize	v
disorient	v
disown	v
disparage	n|v
disparate	adj|n
disparity	n
dispassionate	adj|v
dispatch	n|v
dispel	n|v
dispensable	adj|n
dispense	n|v
dispersal	n
disperse	adj|v
displace	v
displacement	n
display	n|v
displease	v
disport	n|v
disposable	adj|n
disposal	n
dispose	n|v
disposed	adj|v
disposition	n|v
disproof	n
disproportionate	adj|v
disprove	v
dispute	n|v
disputes	n|v
disquisition	n
disregard	n|v
disreputable	adj|n
disrepute	n|v
disrespect	n|v
disrespectful	adj
disrupt	adj|v
disruptive	adj
dissatisfaction	n
dissatisfy	v
dissect	v
dissection	n
dissemble	v
disseminate	v
dissension	n
dissent	n|v
dissenter	n
dissenting	adj|v
dissertation	n
disservice	n|v
dissident	adj|n
dissimilar	adj|n
dissimulate	adj|v
dissipate	adj|v
dissipated	adj|v
dissociate	v
dissociation	n
dissolute	adj|n
dissolve	n|v
dissonance	n
dissonant	adj
dissuade	v
distain	n|v
distal	adj
distance	n|v
distant	adj|n
distasteful	adj
distend	v
distension	n
distent	adj|n
distention	n
distil	v
distill	v
distillation	n
distinct	adj|v
distinction	n
distinctive	adj|n
distinctively	adv
distinctly	adv
distinguish	v
distinguished	adj|v
distort	adj|v
distortion	n
distract	adj|v
distracted	adj|v
distraction	n
distrait	adj
distraught	adj
distress	n|v
distribute	v
distribution	n
district	adj|n|v
disturb	n|v
disturbance	n
disturbing	adj|v
disunite	v
ditch	n|v
ditty	n|v
diurnal	adj|n
diva	n
divagate	v
dive	n|v
diver	n
diverge	n|v
divergence	n
divergent	adj
diverse	adj|adv|v
diversification	n
diversified	adj|v
diversify	v
diversion	n
diversity	n
divert	v
divest	v
divestiture	n
divide	n|v
dividend	n|v
divine	adj|n|v
division	n
divorce	n|v
divulge	v
dizziness	n
dizzy	adj|n|v
dizzying	adj|v
do	adv|n|num|v
docile	adj
dock	n|v
doctor	n|phrase|v
doctorate	n|v
doctors	n|v
doctrinaire	adj|n
doctrine	n
document	n|v
documentary	adj|n
documentation	n
documents	n|v
dodder	n|v
dodge	adj|n|v
does	n|v
doff	n|v
dog	adj|n|v
dogged	adj|adv|v
doggerel	adj|n
doggo	adv|n
dogma	n
dogmatic	adj|n
dogmatism	n
doldrums	n
dole	n|v
doleful	adj
doll	n|v
dollar	n
dolorous	adj
dolphin	n
dolt	n|v
domain	n
dome	n|v
domestic	adj|n
domesticate	n|v
domesticated	adj|v
domicile	n|v
dominant	adj|n
dominate	adj|n|v
domination	n
dominion	n
donate	n|v
donation	n
donations	n
donkey	n
donor	n
doodle	n|v
doom	n|phrase|v
door	n|v
doors	n|v
doorway	n
dorm	n|v
dormancy	n
dormant	adj|n
dormitory	n
dorsal	adj|n
dose	n|v
dossier	n
dot	n
dotage	n
dote	n|v
doting	adj|n|v
double	adj|adv|n|v
double-cross	n|v
doubt	n|v
doubtful	adj|n
doubtless	adj|adv
dour	adj|n
douse	n|v
dove	n|v
dowdy	adj|n|v
down	adj|adv|n|prep|v
down-to-earth	adj
downcast	adj|n|v
download	n|v
downplay	v
downpour	n|v
downstairs	adj|adv|n
downtown	adj|adv|n
downturn	n|v
downward	adj|adv
dowry	n|v
doyen	n
doze	det|n|v
dozen	n
dr	adj|n
drab	adj|n|v
draconian	adj|n
draft	adj|n|v
draftsmanship	n
drag	adj|n|v
dragon	n
dragonfly	n
drain	n|v
drainage	n
drama	n
dramatic	adj
dramatically	adv
dramatize	v
drastic	adj|n
draw	interj|n|v
drawback	n
drawbridge	n
drawer	n
drawing	n|v
drawl	n|v
draws	n|v
dread	adj|n|v
dreadful	adj|adv|n
dreadfully	adv
dream	adj|n|v
dreary	adj|n
dregs	n
drench	n|v
drenched	adj|v
dress	n|v
dressing	n|v
dribble	n|v
drier	adj|n
drift	n|v
driftwood	n
drill	n|v
drink	n|v
drinking	adj|n|v
drinks	n|v
drip	n|v
dripstone	n
drive	n|v
drivel	n|v
driver	n
driving	adj|n|v
drizzle	n|v
drizzly	adj
droll	adj|n|v
drollery	n
drone	n|v
droop	adj|n|v
drop	n|v
drop-off	n
drop-out	n
droplet	n
dropout	n
dross	n|v
drought	n
drove	n|v
drown	n|v
drowse	n|v
drowsiness	n
drowsy	adj
drub	n|v
drudgery	n
drug	n|v
drugs	n|v
drum	n|v
drunk	adj|adv|n|v
dry	adj|n|phrase|v
dual	adj|n|v
dub	n|v
dubious	adj
duck	n|v
duckling	n
duct	n|v
ductile	adj
due	adj|adv|n
duel	n|v
dues	n
duet	n|v
duke	n|v
dulcet	adj
dull	adj|n|v
dullard	n
dully	adj|adv
duly	adv
dumb	adj|adv|n|v
dumbfound	v
dummy	adv|n|v
dump	n|v
dumpling	n
dunce	n
dune	n
dungeon	n|v
dupe	n|v
duplicate	adj|n|v
duplicitous	adj
duplicity	n
durable	adj|n
duration	n
duress	n|v
during	n|prep|v
dusk	adj|n|v
dusky	adj|n
dust	n|v
dustbin	n
dusty	adj|n
duties	n
dutiful	adj
duty	n
dvd	n
dwarf	adj|n|v
dwell	n|v
dweller	n
dwelling	n|v
dwindle	v
dye	n|v
dying	adj|n|v
dynamic	adj|n
dynamical	adj
dynamics	n
dynamo	n
dynasty	n
dysfunctional	adj
dyslexia	n
dyspeptic	adj|n
each	adv|det|n|pron
eager	adj|n|v
eagle	n|v
eaglet	n
ear	n|v
early	adj|adv|n
earn	n|v
earnest	adj|n|v
earnings	n
earplug	n|v
earring	n
earshot	n
earsplitting	adj
earth	n|v
earthenware	n
earthly	adj|adv|n
earthquake	n|v
earthshaking	adj
earthy	adj
ease	n|v
easel	n
easily	adv
east	adj|adv|n
easter	adj|n|v
eastern	adj
eastward	adj|adv|n
eastwards	adv
easy	adj|adv|interj|n|v
eat	n|v
eavesdrop	n|v
ebb	adj|n|v
ebullience	n
eccentric	adj|n
eccentricity	n
ecdysis	n
echo	n|v
eclat	n
eclectic	adj|n
eclecticism	n
eclipse	n|v
eclogue	n
ecological	adj
ecologist	n
ecology	n
economic	adj|n
economical	adj
economically	adv
economics	n
economize	v
economy	adj|adv|n
ecosystem	n
ecstasy	n|v
ecstatic	adj|n
ecumenical	adj
eddy	n|v
edentate	adj|n
edge	n|v
edible	adj|n
edict	n
edifice	n
edify	v
edit	n|v
edition	n
editor	n
editorial	adj|n
educable	adj|n
educate	adj|v
educated	adj|v
education	n
educational	adj|n
educator	n
educe	n|v
eerie	adj|n
efface	v
effect	n|v
effective	adj|n
effectively	adv
effectiveness	n
effects	n|v
effeminate	adj|n|v
effervesce	v
effete	adj
efficacious	adj
efficacy	n
efficiency	n
efficient	adj|n
effigy	n
effluent	adj|n
effluvia	n
effort	n|v
effrontery	n
effulgent	adj
egalitarian	adj|n
egg	n|v
eggplant	n
eggshell	adj|n
ego	n|v
egocentric	adj|n
egoism	n
egotist	n
egregious	adj
egress	n|v
egyptian	adj|n
eight	adj|n|num
eighteen	n|num
eighth	adj|n|v
eighty	num
either	adv|conj|det|pron
ejaculate	n|v
eject	n|v
eke	adv|n|v
elaborate	adj|v
elaborately	adv
elaboration	n
elapse	v
elastic	adj|n
elasticity	n
elated	adj|v
elation	n
elbow	n|v
elder	adj|n|v
elderly	adj|n
elect	adj|n|v
election	n
electorate	n
electric	adj|n
electrical	adj|n
electrician	n
electricity	n
electrode	n
electromagnetic	adj
electron	n
electronic	adj|n
electronics	n
elegance	n
elegant	adj|n
elegy	n
element	n|v
elemental	adj|n
elementary	adj|n
elements	n
elephant	n
elephantine	adj|n
elevate	adj|v
elevation	n
elevator	n|v
eleven	n|num
elicit	adj|v
eligible	adj|n
eliminate	v
elimination	n
elite	adj|n
elixir	n
ellipsis	n
elliptical	adj|n
elm	n
elocution	n
elongate	adj|v
eloquence	n
eloquent	adj
else	adj|adv|conj|n
elsewhere	adv|n
elucidate	adj|v
elude	v
elusive	adj
emaciate	adj|v
emaciated	adj|v
emaciation	n
email	n|v
emanate	v
emancipate	adj|v
emancipation	n
emasculate	adj|v
embalm	v
embankment	n
embargo	n|v
embark	v
embarrass	n|v
embassy	n
embed	n|v
embellish	v
embellishment	n
embezzle	v
embezzlement	n
embitter	v
emblazon	v
emblem	n|v
emblematic	adj
embodiment	n
embody	v
embolden	v
embosom	v
emboss	n|v
embrace	n|v
embroider	v
embroidery	n
embroil	n|v
embryo	n
embryological	adj
embryonic	adj
emend	v
emerald	adj|n|v
emerge	n|v
emergence	n
emergencies	n
emergency	n
emerging	adj|n|v
emigrant	n
emigrate	v
eminence	n
eminent	adj
emissary	n
emission	n
emit	v
emollient	adj|n
emolument	n
emote	n|v
emotion	n
emotional	adj|n
empathy	n
emperor	n
emphasis	n
emphasize	v
emphatic	adj|n
empire	adj|n
empirical	adj|n
empiricism	n
employ	n|v
employee	n
employees	n
employer	n
employment	n
empower	v
empty	adj|n|v
empyreal	adj
empyrean	adj|n
emulate	adj|v
emulsify	v
enable	v
enact	v
enactment	n
enamel	n|v
enamored	adj|v
encapsulate	v
encase	v
enchant	n|v
encipher	v
enclose	v
enclosure	n
encomiast	n
encomium	n
encompass	v
encounter	n|v
encourage	v
encouragement	n
encroach	n|v
encumber	v
encyclopedia	n
encyclopedic	adj
end	n|v
endanger	v
endangered	adj|v
endearing	adj|n|v
endeavor	n|v
endeavour	n|v
endemic	adj|n
ending	n|v
endless	adj
endlessly	adv
endorse	n|v
endotherm	n
endotoxin	n
endow	v
endowment	n
endue	v
endurance	n
endure	v
enduring	adj|n|v
enemy	n|v
energetic	adj|n
energies	n
energize	v
energy	n
enervate	adj|v
enfeeble	v
enfetter	v
enflame	v
enforce	v
engage	v
engaged	adj|v
engagement	n
engaging	adj|n|v
engender	v
engine	n|v
engineer	n|v
engineering	n|v
engineers	n|v
england	n
english	adj|n|v
englishman	n
engrave	v
engraving	n|v
engross	v
engrossment	n
engulf	v
enhance	v
enigma	n
enigmatic	adj
enjoin	v
enjoy	v
enjoyable	adj
enlarge	v
enlighten	v
enlightening	adj|v
enlightenment	n
enlist	n|v
enliven	v
enmesh	v
enmity	n
ennoble	v
ennui	n|v
enormity	n
enormous	adj
enough	adv|det|interj|n|pron
enquire	v
enquiry	n
enrage	v
enrapture	v
enrich	v
enroll	v
enrollment	n
enrolment	n
ensconce	v
ensemble	n|v
enshrine	v
ensign	n|v
enslave	v
ensnare	v
ensue	v
ensure	v
entail	n|v
entangle	v
entanglement	n
enter	n|v
enterprise	n|v
enterprising	adj|n|v
entertain	n|v
entertainer	n
entertainment	n
enthral	v
enthrall	v
enthralling	adj|v
enthusiasm	n
enthusiastic	adj
enthusiastically	adv
entice	v
entire	adj|n
entirety	n
entitle	v
entitled	adj|v
entity	n
entourage	n
entrance	n|v
entrancing	adj|n|v
entrap	v
entreat	n|v
entreaty	n
entrench	v
entrenched	v
entrepreneur	n
entrust	v
entry	n
entwine	v
enumerate	adj|v
enunciate	v
envelop	v
envelope	n|v
envious	adj
environ	adv|n|v
environment	n
environmental	adj|n
environs	n|v
envisage	v
envision	v
envoy	n
envy	n|v
enzyme	n
epaulet	n
ephemeral	adj|n
epic	adj|n
epicure	n
epicurean	adj|n
epidemic	adj|n
epidermis	n
epigram	n
epilogue	n|v
episode	n
episodic	adj
epitaph	n|v
epithet	n|v
epitome	n
epitomize	v
epoch	n|v
equable	adj
equal	adj|n|v
equality	n
equanimity	n
equate	n|v
equation	n
equator	n
equestrian	adj|n
equilibrium	n
equine	adj|n
equip	n|v
equipe	n
equipment	n
equitable	adj
equity	n
equivalent	adj|n|v
equivocal	adj|n
equivocate	v
equivocation	n
era	n
eradicate	v
erase	n|v
eraser	n
erasure	n
erect	adj|v
erode	n|v
erosion	n
err	interj|v
errand	n|v
erratic	adj|n
erratically	adv
erroneous	adj
error	n|v
ersatz	adj|n
erstwhile	adj|adv
erudite	adj|n
erupt	v
eruption	n
escalate	v
escalation	n
escalator	n|v
escape	n|v
escapism	n
escapist	adj|n
eschew	v
escort	n|v
esophagus	n
esoteric	adj|n
especially	adv
espionage	n
espousal	n
espouse	v
espy	n|v
essay	n|v
essence	n
essential	adj|n
establish	v
establishment	n
estate	adj|n|v
esteem	n|v
esthetic	adj
estimable	adj
estimate	adj|n|v
estrange	v
estranged	adj|v
estuary	n
etch	n|v
etching	n|v
eternal	adj|n
ethereal	adj|n
ethic	adj|n
ethical	adj|n
ethically	adv
ethics	n
ethnic	adj|n
ethnology	n
ethos	n
etiquette	n
etymology	n
eucalyptus	n
eugenic	adj
eulogistic	adj
eulogize	v
eulogy	n
euphemism	n
euphonious	adj
euphony	n
euphoria	n
europe	n
european	adj|n
evacuate	v
evade	v
evaluate	v
evaluation	n
evanescent	adj
evaporate	adj|v
evaporation	n
evasion	n
evasive	adj
eve	n
even	adj|adv|n|v
even-tempered	adj
evenhanded	adj
evening	n|v
evenly	adv
event	n|v
eventful	adj
eventual	adj
eventually	adv
ever	adj|adv|det
evergreen	adj|n|v
everlasting	adj|adv|n
every	det|n
everybody	pron
everyday	adj|adv|n
everyone	pron
everything	n|pron|v
everywhere	adv|n
evict	v
eviction	n
evidence	n|v
evident	adj
evil	adj|adv|n
evince	v
eviscerate	v
evocative	adj
evoke	v
evolution	n
evolutionary	adj
evolve	v
ewe	adj|n
ewer	n
exacerbate	v
exact	adj|adv|v
exacting	adj|v
exactitude	n
exactly	adv|interj
exaggerate	adj|v
exaggeration	n
exalt	v
exaltation	n
exalted	adj|v
exam	n|v
examination	n
examine	n|v
example	n|v
examples	n|v
exams	n|v
exasperate	adj|v
excavate	adj|n|v
excavation	n
exceed	v
exceedingly	adv
excel	n|v
excellent	adj|adv
except	conj|prep|v
exception	n|v
exceptionable	adj
exceptional	adj|n
exceptionally	adv
excerpt	n|v
excess	adj|n|v
excessive	adj
excessively	adj|adv
exchange	n|v
exchequer	n|v
excise	n|v
excitability	n
excitable	adj
excite	v
excitement	n
exciting	adj|n|v
exclaim	n|v
exclamation	n
exclude	v
exclusion	n
exclusive	adj|n
exclusively	adv
excogitate	v
excoriate	adj|v
excrement	n
excrete	v
excruciate	adj|v
exculpate	v
excursion	n|v
excursive	adj
excuse	n|v
execrable	adj
execrate	v
execration	n
execute	v
execution	n
executive	adj|n
exemplary	adj|n
exemplify	v
exempt	adj|n|v
exemption	n
exercise	n|v
exert	v
exertion	n
exhale	n|v
exhaust	adj|n|v
exhausted	adj|v
exhausting	adj|v
exhaustion	n
exhaustive	adj
exhibit	n|v
exhibition	n|v
exhilarate	v
exhilarating	adj|v
exhilaration	n
exhort	v
exhume	v
exigent	adj|n
exiguous	adj
exile	n|v
exist	v
existence	n
existent	adj|n
existential	adj|n
existing	adj|v
exit	n|v
exocrine	adj|n
exodus	n|v
exonerate	adj|v
exorbitant	adj
exorcise	v
exotic	adj|n
expand	v
expanding	v
expanse	n
expansion	n
expansive	adj
expatiate	v
expatriate	adj|n|v
expect	v
expectancy	n
expectation	n
expediency	n
expedient	adj|n
expedite	adj|v
expedition	n|v
expeditious	adj
expel	v
expend	v
expenditure	n
expense	n|v
expenses	n|v
expensive	adj
experience	n|v
experienced	adj|v
experiment	n|v
experimental	adj|n
experimentally	adv
experimentation	n
experiments	n|v
expert	adj|n|v
expertise	n|v
expiate	v
expiation	n
expiration	n
expire	v
explain	v
explanation	n
explicable	adj
explicate	adj|v
explicit	adj|n|phrase
explode	v
exploit	n|v
exploitation	n
exploration	n
explore	n|v
explorer	n
explosion	n
explosive	adj|n
exponent	n
exponential	adj|n
exponentially	adv
export	adj|n|v
expose	v
exposition	n
expository	adj
expostulate	v
exposure	n
expound	v
express	adj|adv|n|v
expression	n
expressive	adj|n
expressly	adv
expropriate	v
expulsion	n
expunge	v
expurgate	v
exquisite	adj|n
extant	adj
extemporaneous	adj
extemporize	v
extend	n|v
extended	adj|v
extension	n
extensive	adj
extent	adj|n
extenuate	adj|v
exterior	adj|n
exterminate	v
external	adj|n
externalize	v
extinct	adj|n|v
extinction	n
extinguish	v
extirpation	n
extol	v
extort	adj|v
extra	adj|adv|n
extract	n|v
extraction	n
extracurricular	adj|n
extradite	v
extraneous	adj
extraordinarily	adv
extraordinary	adj|n
extrapolate	v
extravagance	n
extravagant	adj
extreme	adj|adv|n
extremely	adv
extremist	adj|n
extremity	n
extricable	adj
extricate	v
extrinsic	adj|n
extrovert	adj|n|v
extrude	v
exuberance	n
exuberant	adj
exude	v
exult	v
exultant	adj
eye	n|v
eye-catching	adj
eyebrow	n|v
eyesight	n
eyewitness	n|v
f	adj|interj|n|num|v
fable	n|v
fabric	n|v
fabricate	v
fabrication	n
fabulous	adj
facade	n|v
face	adv|n|phrase|v
facelift	n|v
facet	n|v
facetious	adj
facial	adj|n
facile	adj
facilitate	v
facilitation	n
facilities	n
facility	n
facsimile	n|v
fact	interj|n
faction	n
factious	adj
factitious	adj
factor	n|v
factorable	adj
factories	n
factors	n|v
factory	adj|n
factotum	n
factual	adj|n
faculty	n
fad	n
faddish	adj
fade	adj|n|v
fag	n|v
fagot	n|v
fahrenheit	adj
fail	adj|n|v
fail-safe	adj|n|v
failure	n
faint	adj|n|v
fainthearted	adj
fair	adj|adv|n|v
fairly	adv
fairness	n
fairy	adj|n
faith	adv|interj|n
faithful	adj|n
faithfulness	n
fake	adj|n|v
falcon	n|v
falconer	n
falcons	n|v
fall	interj|n|v
fallacious	adj
fallacy	n
fallibility	n
fallible	adj
fallow	adj|n|v
false	adj|adv|n|v
falsehood	n
falsify	v
falter	n|v
fame	n|v
familiar	adj|n
familiarity	n
familiarize	v
families	n
family	adj|n
famine	n
famish	v
famous	adj|v
fan	n|v
fanatic	adj|n
fanatical	adj
fanaticism	n
fanciful	adj
fancy	adj|adv|n|v
fanfare	n|v
fang	n|v
fantasia	n
fantastic	adj|n
fantasy	n|v
far	adj|adv|n|v
far-reaching	adj
farce	n|v
fare	n|v
farewell	adj|interj|n|v
farm	n|v
farmer	n
farmers	n
farming	adj|n|v
farms	n|v
farrow	adj|n|v
farther	adj|adv|v
fascia	n
fascinate	v
fascinating	adj|v
fascination	n
fashion	n|v
fashionable	adj|n
fast	adj|adv|interj|n|phrase|v
fasten	v
fastener	n
fastidious	adj
fastness	n
fat	adj|n|v
fatal	adj|n
fatalism	n
fate	n|v
fateful	adj
father	n|v
father-in-law	n
fathom	n|v
fatigue	n|v
fatten	v
fatuity	n
fatuous	adj
faucet	n
fault	n|v
faultfinder	n
faultless	adj
faulty	adj
fauna	n
favor	n|v
favorable	adj
favored	adj|v
favorite	adj|n|v
favour	n|v
favourable	adj
favourite	adj|n|v
fawn	adj|n|v
fax	interj|n|v
faze	v
fealty	n
fear	adj|n|v
fearful	adj|adv
fearless	adj
feasible	adj
feast	n|v
feat	adj|n|v
feather	n|v
feature	n|v
features	n|v
febrile	adj
february	n
feckless	adj
fecund	adj
fecundity	n
federal	adj|n
federation	adj|n
fee	n|v
feeble	adj|v
feed	n|v
feedback	n|v
feeder	n
feel	adj|adv|n|pron|v
feeling	adj|n|v
fees	n|v
feet	n
feign	v
feigned	adj|v
feint	adj|n|v
feisty	adj
felicitate	adj|v
felicitous	adj
feline	adj|n
fell	adj|adv|n|v
fellow	n|v
fellowship	n|v
felon	adj|n
felony	n
felt	adj|n|v
female	adj|n
feminine	adj|n
feminism	n
feminist	adj|n
fence	n|v
fencing	n|v
fend	n|v
fender	n|v
feral	adj|n
ferment	n|v
fermentation	n
fern	n
ferocious	adj
ferret	n|v
ferries	n|v
ferromagnetic	adj
ferrous	adj
ferry	n|v
fertile	adj|n
fertilize	v
fertilizer	n
fervent	adj
fervid	adj
fervor	n
festal	adj
fester	n|v
festival	adj|n
festive	adj
fetch	interj|n|v
fete	n|v
fetid	adj|n
fetish	n
fetter	n|v
fetus	n
feud	n|v
feudal	adj
fever	n|v
feverish	adj
few	det|n|pron
fiasco	n
fiat	n|v
fiber	n
fibre	n
fickle	adj|n|v
fiction	n
fictional	adj
fictitious	adj
fidelity	n
fidget	n|v
field	n|v
fiend	n|v
fierce	adj|adv
fifteen	n|num
fifth	adj|n|v
fifty	n|num
fig	n|v
fight	n|v
fighter	n
figment	n
figurative	adj
figure	n|v
figurehead	n|v
figures	n|phrase|v
figurine	n
filament	n
filch	n|v
file	n|v
filial	adj
filibuster	n|v
filigree	n|v
filings	n
fill	n|v
fillet	n|v
filly	n
film	n|v
filmed	adj|v
filter	n|v
filth	n
filthy	adj|v
finable	adj
final	adj|n|v
finale	n
finally	adv
finance	n|v
financial	adj
financing	n|v
finch	n|v
find	n|v
finding	n|v
fine	adj|adv|interj|n|v
finely	adv
finery	n
finesse	n|v
finger	n|v
fingernail	n
fingers	n|v
fingertip	n|v
finicky	adj
finish	n|v
finite	adj|n
fir	adj|n
fire	adj|interj|n|v
firearm	n
firebrand	n
firefighter	n
firefly	n
fireman	n
fireplace	n
fireproof	adj|v
firewood	n
firework	n
firm	adj|adv|n|v
firmly	adv
firmness	n
firms	n|v
first	adj|adv|n|v
first-aid	
first-rate	adj|n
fiscal	adj|n
fish	n|v
fisherman	n
fishery	n
fishing	n|v
fishy	adj|n
fissile	adj
fission	n|v
fissure	n|v
fist	n|v
fit	adj|n|v
fitful	adj
fitness	n
fitting	adj|n|v
fittingly	adv
five	n|num
fix	n|v
fixate	v
fixed	adj|v
fixture	n|v
flabby	adj
flaccid	adj
flag	n|v
flagella	n
flagellate	adj|n|v
flagging	adj|n|v
flaggy	adj
flagrant	adj
flail	n|v
flair	n|v
flak	n
flake	n|v
flamboyant	adj|n
flame	adj|n|v
flaming	adj|n|v
flammable	adj|n
flange	n|v
flank	adj|n|v
flannel	adj|n|v
flap	n|v
flare	n|v
flash	adj|n|v
flashlight	n|v
flashy	adj
flask	n|v
flat	adj|adv|n|v
flatcar	n
flats	n|v
flatten	v
flatter	adj|n|v
flattering	adj|n|v
flatulence	n
flaunt	n|v
flaunty	adj
flavor	n|v
flavoring	n|v
flavour	n|v
flaw	n|v
flax	n
flay	n|v
flea	n|v
fleck	n|v
fledge	adj|v
fledgling	adj|n
flee	v
fleece	n|v
fleet	adj|n|v
fleeting	adj|n|v
flesh	n|v
flexibility	n
flexible	adj|n
flick	n|v
flicker	n|v
flickering	adj|n|v
flight	adj|n|v
flighty	adj
flimsy	adj|n|v
flinch	n|v
fling	n|v
flint	n|v
flip	adj|interj|n|v
flippant	adj
flirt	adj|n|v
flit	adj|n|v
float	n|v
flock	n|v
flood	n|v
floodgate	n
floodplain	n
floor	n|v
floors	n|v
floppy	adj|n
flora	n
floral	adj|n
florescence	n
florid	adj
flounder	n|v
flour	n|v
flourish	n|v
flourishment	n
flout	n|v
flow	n|v
flower	n|v
flowers	n|v
flu	n
fluctuate	adj|v
fluctuation	n
fluency	n
fluent	adj|n
fluff	n|v
fluffy	adj|n
fluid	adj|n
fluke	n|v
flunk	v
fluorescent	adj|n
flush	adj|adv|n|v
fluster	n|v
flustered	adj|v
flutter	n|v
fluvial	adj
flux	adj|n|v
fly	adj|n|v
flyover	n
flyspeck	n|v
foam	n|v
focus	n|v
fodder	n|v
foe	adj|n
fog	adj|n|v
fogged	adj|v
foggy	adj
foghorn	n|v
foible	adj|n
foil	n|v
foist	adj|n|v
fold	n|v
folder	n
folding	adj|n|v
foliage	n
folk	adj|n
folklore	n
follow	n|v
follower	n
following	adj|n|prep|v
folly	n|v
foment	n|v
fond	adj|n|v
fondle	n|v
food	n
foodstuff	n
fool	adj|n|v
foolish	adj
foolproof	adj|v
foot	n|v
football	n|v
foothold	n
footle	n|v
footnote	n|v
footpath	n
footstep	n
fop	adj|n
foppish	adj
for	conj|n|phrase|prep
forage	n|v
forager	n
foray	n|v
forbearance	n
forbes	n
forbid	v
forbidding	adj|n|v
force	n|v
forcible	adj
ford	n|v
fore	adj|adv|interj|n
forebear	n|v
forebode	n|v
forecast	n|v
foreclose	v
forefather	n
forefront	n|v
forehead	n
foreign	adj|n
foreigner	n
foreknowledge	n
foremost	adj|adv|n
forensic	adj
forerunner	n
foresee	v
foreseeable	adj
foreshadow	n|v
foresight	n
forest	n|v
forestall	n|v
forestry	n
foretell	v
forever	adj|adv|n
foreword	n
forfeit	adj|n|v
forfeiture	n
forge	n|v
forger	n
forgery	n
forget	n|v
forgetful	adj
forgive	v
forgo	v
fork	n|v
forlorn	adj|n|v
form	n|v
formal	adj|n
formality	n
formalized	v
format	n|v
formation	n
formative	adj|n
former	adj|n
formerly	adv
formidable	adj
forms	n|v
formula	n
formulate	v
formulation	n
forsake	v
forswear	v
fort	n|v
forte	adj|adv|n
forth	adj|adv|n|prep
forthcoming	adj|n|v
forthright	adj|adv|n
fortify	v
fortitude	n
fortnight	n
fortress	n|v
fortuitous	adj
fortuitously	adv
fortunate	adj
fortunately	adv
fortune	n|v
forty	adj|n|num
forum	n
forward	adj|adv|n|v
fosse	n
fossil	n
fossilize	v
fossilized	adj|v
fossils	n
foster	adj|n|v
foul	adj|n|v
found	n|v
foundation	n
founder	n|v
founding	adj|n|v
fountain	n|v
four	n|num
four-poster	adj|n
fourteen	num
fourth	adj|n|v
fowl	adj|n|v
fox	n|v
foyer	n
fracas	n
fraction	n|v
fractional	adj|n
fractious	adj
fracture	n|v
fragile	adj|n
fragility	n
fragment	n|v
fragmentary	adj
fragrance	n|v
fragrant	adj
frail	adj|n|v
frame	n|v
framework	n
franc	n
france	n
frank	adj|n|v
frantic	adj|n
fraternal	adj|n
fraternity	n
fraud	n|v
fraudulent	adj
fraught	adj|n|v
fray	n|v
freak	adj|n|v
freckle	n|v
free	adj|adv|n|num|v
freedom	n
freelancer	n
freely	adj|adv
freeway	n
freeze	n|v
