word	part_of_speech	expression	definition	usage_label	source_url
ken	n	beyond one’s ken	Range of perception.	fossil word	https://en.wiktionary.org/wiki/ken
ken	n	swim into one’s ken	Range of perception.	fossil word	https://en.wiktionary.org/wiki/ken
